"weather","temperature","count"
"Cloudy",0.291667,3959
"Clear",0.771667,4590
"Clear",0.324167,5047
"Cloudy",0.291304,1013
"Clear",0.766667,4780
"Clear",0.329167,2132
"Clear",0.593333,7384
"Clear",0.354167,4375
"Cloudy",0.1625,1977
"Cloudy",0.720833,6664
"Clear",0.528333,4333
"Clear",0.7775,5823
"Cloudy",0.425833,6041
"Clear",0.265833,2496
"Cloudy",0.549167,4401
"Cloudy",0.463333,4367
"Clear",0.58,7333
"Cloudy",0.716667,4649
"Cloudy",0.315,2252
"Cloudy",0.649167,4630
"Clear",0.4375,6857
"Light-Snow",0.224167,2169
"Clear",0.640833,5895
"Clear",0.221739,1917
"Clear",0.708333,4677
"Clear",0.5,5169
"Clear",0.7625,4086
"Cloudy",0.545833,7444
"Clear",0.2825,3243
"Clear",0.6925,6536
"Clear",0.5525,7591
"Cloudy",0.673333,3351
"Cloudy",0.165,959
"Clear",0.3975,5409
"Cloudy",0.256667,2802
"Clear",0.41,2485
"Cloudy",0.621667,6883
"Clear",0.703333,7504
"Cloudy",0.616667,4451
"Cloudy",0.353333,5501
"Light-Snow",0.416667,1607
"Clear",0.6675,4788
"Cloudy",0.3,2227
"Clear",0.384348,2417
"Clear",0.763333,6830
"Cloudy",0.430435,2077
"Clear",0.28087,5323
"Clear",0.476667,6196
"Clear",0.446667,5918
"Clear",0.655,6770
"Clear",0.19,2298
"Light-Snow",0.268333,1685
"Clear",0.52,4714
"Clear",0.726667,6598
"Cloudy",0.426667,2895
"Clear",0.779167,4390
"Clear",0.655833,4758
"Clear",0.459167,4433
"Cloudy",0.530833,4575
"Clear",0.514167,7691
"Cloudy",0.656667,6855
"Clear",0.196364,1349
"Cloudy",0.316667,3005
"Cloudy",0.4775,4459
"Clear",0.665833,4338
"Clear",0.2,1562
"Clear",0.195,431
"Clear",0.707059,4334
"Clear",0.696667,5119
"Clear",0.279167,3389
"Clear",0.5325,4803
"Clear",0.75,4592
"Clear",0.5975,6998
"Clear",0.650833,4763
"Clear",0.660833,4978
"Cloudy",0.549167,4539
"Cloudy",0.1075,2368
"Clear",0.776667,6861
"Cloudy",0.5625,4553
"Cloudy",0.764167,3974
"Cloudy",0.224167,2376
"Clear",0.278333,2277
"Clear",0.464167,6824
"Cloudy",0.531667,6230
"Cloudy",0.175833,1000
"Clear",0.695,5202
"Cloudy",0.53,4195
"Clear",0.393333,4521
"Clear",0.435,6457
"Cloudy",0.325,1162
"Clear",0.6025,5805
"Cloudy",0.203478,1167
"Clear",0.366667,4322
"Clear",0.248333,2423
"Cloudy",0.365833,5986
"Clear",0.361667,5992
"Clear",0.4225,4308
"Clear",0.781667,6904
"Clear",0.325,3613
"Cloudy",0.634167,5010
"Clear",0.616667,4839
"Clear",0.285217,1812
"Clear",0.715,4968
"Cloudy",0.435833,4378
"Clear",0.62,5312
"Clear",0.264348,2028
"Clear",0.755833,6685
"Clear",0.346667,4318
"Cloudy",0.6575,7572
"Clear",0.343478,2402
"Clear",0.708333,4905
"Clear",0.7525,7261
"Clear",0.635,5342
"Cloudy",0.3625,3786
"Clear",0.715833,6779
"Clear",0.269167,3624
"Clear",0.2925,2133
"Cloudy",0.223478,1985
"Clear",0.506667,5217
"Clear",0.3025,1011
"Clear",0.296667,5260
"Clear",0.7075,6034
"Clear",0.319167,3331
"Light-Snow",0.389091,623
"Cloudy",0.595,4352
"Clear",0.745833,6031
"Cloudy",0.353333,3194
"Clear",0.7175,4792
"Cloudy",0.211304,1708
"Clear",0.631667,7702
"Cloudy",0.68,1115
"Clear",0.656667,5058
"Clear",0.2225,1472
"Cloudy",0.561667,5875
"Clear",0.454167,5062
"Cloudy",0.458333,2914
"Cloudy",0.65,7393
"Clear",0.4375,7282
"Cloudy",0.254167,2114
"Clear",0.6125,6118
"Cloudy",0.376667,4220
"Clear",0.521667,5409
"Clear",0.264167,2210
"Cloudy",0.520833,6778
"Clear",0.285833,1623
"Light-Snow",0.541739,2424
"Clear",0.7825,6211
"Cloudy",0.6175,4058
"Clear",0.5075,4274
"Clear",0.771667,4266
"Clear",0.466667,6772
"Cloudy",0.601667,8362
"Light-Snow",0.2175,506
"Cloudy",0.46,4036
"Clear",0.220833,2743
"Clear",0.68,5305
"Cloudy",0.648333,4906
"Light-Snow",0.595833,4459
"Clear",0.404167,4916
"Clear",0.5425,8555
"Clear",0.5575,6192
"Clear",0.2825,3523
"Clear",0.4525,6234
"Cloudy",0.41,2429
"Cloudy",0.134783,1605
"Cloudy",0.363478,801
"Cloudy",0.71,4576
"Clear",0.408333,4205
"Clear",0.400833,4068
"Cloudy",0.381667,5582
"Cloudy",0.253333,1341
"Clear",0.725,4966
"Clear",0.485,6269
"Cloudy",0.343333,4094
"Clear",0.375,2792
"Clear",0.744167,4648
"Clear",0.749167,6879
"Clear",0.469167,4579
"Cloudy",0.726667,6043
"Clear",0.373333,2209
"Cloudy",0.699167,4744
"Light-Snow",0.633913,1842
"Clear",0.769167,5464
"Clear",0.325833,3423
"Clear",0.2825,1969
"Clear",0.720833,6883
"Cloudy",0.295652,1807
"Cloudy",0.33,4128
"Light-Snow",0.396667,1027
"Clear",0.716667,7264
"Clear",0.673333,4785
"Clear",0.3325,2471
"Clear",0.261739,1872
"Clear",0.721667,6597
"Cloudy",0.385833,3811
"Cloudy",0.631667,4274
"Clear",0.653333,5046
"Cloudy",0.709167,4040
"Cloudy",0.344167,985
"Clear",0.736667,7112
"Clear",0.691667,4758
"Clear",0.65,8395
"Cloudy",0.484167,3894
"Clear",0.783333,4845
"Clear",0.37,2294
